# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.05           9.222289e+00 -1.685459e-01 -1.102548e-17 6.112863e+00 -1.743355e-01 -1.141698e-17 3.109427e+00 5.789671e-03 3.915026e-19
0.1            1.059446e+01 1.128945e-03 -4.166224e-18 8.231936e+00 8.174183e-03 -4.355024e-18 2.362522e+00 -7.045238e-03 1.888004e-19
0.15           9.766694e+00 9.088868e-02 -2.305407e-18 7.862555e+00 9.333537e-02 -2.429591e-18 1.904140e+00 -2.446689e-03 1.241840e-19
0.2            9.161056e+00 1.358117e-01 -1.556973e-18 7.571581e+00 1.327185e-01 -1.654575e-18 1.589476e+00 3.093204e-03 9.760243e-20
0.25           8.818904e+00 1.893923e-01 -1.298401e-18 7.455472e+00 1.852407e-01 -1.382850e-18 1.363432e+00 4.151655e-03 8.444936e-20
0.3            8.600986e+00 1.843147e-01 -1.170429e-18 7.406412e+00 1.793287e-01 -1.248247e-18 1.194574e+00 4.985974e-03 7.781718e-20
0.35           8.389892e+00 1.802355e-01 -1.137331e-18 7.331733e+00 1.753041e-01 -1.210621e-18 1.058159e+00 4.931404e-03 7.329022e-20
0.4            8.195736e+00 1.017585e-01 -1.158105e-18 7.251092e+00 9.726703e-02 -1.227893e-18 9.446442e-01 4.491421e-03 6.978764e-20
0.45           8.127367e+00 8.939117e-02 -1.210216e-18 7.277144e+00 8.474213e-02 -1.277707e-18 8.502235e-01 4.649042e-03 6.749124e-20
0.5            8.108188e+00 7.775053e-02 -1.205613e-18 7.335846e+00 7.226328e-02 -1.269870e-18 7.723419e-01 5.487245e-03 6.425660e-20
0.55           8.126507e+00 5.837344e-02 -1.204062e-18 7.417903e+00 5.215437e-02 -1.266363e-18 7.086047e-01 6.219078e-03 6.230152e-20
0.6            8.093741e+00 5.676693e-02 -1.203026e-18 7.437181e+00 5.060562e-02 -1.263817e-18 6.565597e-01 6.161315e-03 6.079014e-20
0.65           8.089413e+00 1.276434e-02 -1.183776e-18 7.476518e+00 7.207610e-03 -1.243014e-18 6.128951e-01 5.556726e-03 5.923856e-20
0.7            8.062795e+00 -1.050289e-02 -1.177398e-18 7.487480e+00 -1.448377e-02 -1.235416e-18 5.753155e-01 3.980884e-03 5.801824e-20
0.75           8.047251e+00 -5.204231e-02 -1.185810e-18 7.504672e+00 -5.417221e-02 -1.243238e-18 5.425796e-01 2.129907e-03 5.742864e-20
0.8            8.002205e+00 -8.378833e-02 -1.207115e-18 7.488253e+00 -8.389474e-02 -1.264867e-18 5.139524e-01 1.064050e-04 5.775238e-20
0.85           7.989011e+00 -1.040412e-01 -1.253702e-18 7.500521e+00 -1.021212e-01 -1.312379e-18 4.884897e-01 -1.920017e-03 5.867729e-20
0.9            7.960394e+00 -9.988090e-02 -1.266690e-18 7.494377e+00 -9.612289e-02 -1.325714e-18 4.660168e-01 -3.758012e-03 5.902390e-20
0.95           7.962136e+00 -9.419561e-02 -1.300938e-18 7.516351e+00 -8.891729e-02 -1.360703e-18 4.457859e-01 -5.278322e-03 5.976475e-20
1              7.947490e+00 -9.178638e-02 -1.316386e-18 7.519685e+00 -8.540217e-02 -1.376157e-18 4.278052e-01 -6.384202e-03 5.977135e-20
1.05           8.002660e+00 -7.556792e-02 -1.337418e-18 7.590915e+00 -6.804368e-02 -1.396997e-18 4.117449e-01 -7.524241e-03 5.957926e-20
1.1            8.038426e+00 -6.923088e-02 -1.325808e-18 7.640874e+00 -6.077251e-02 -1.384498e-18 3.975518e-01 -8.458366e-03 5.869035e-20
1.15           8.060013e+00 -7.734481e-02 -1.335379e-18 7.675578e+00 -6.834181e-02 -1.393763e-18 3.844347e-01 -9.003001e-03 5.838349e-20
1.2            8.094202e+00 -8.146961e-02 -1.339763e-18 7.721930e+00 -7.214349e-02 -1.397912e-18 3.722721e-01 -9.326115e-03 5.814878e-20
1.25           8.130132e+00 -7.533995e-02 -1.334003e-18 7.769006e+00 -6.571442e-02 -1.391944e-18 3.611251e-01 -9.625529e-03 5.794116e-20
1.3            8.134937e+00 -7.759368e-02 -1.335276e-18 7.784437e+00 -6.792482e-02 -1.393367e-18 3.505007e-01 -9.668860e-03 5.809090e-20
1.35           8.153274e+00 -6.841611e-02 -1.324100e-18 7.812921e+00 -5.891633e-02 -1.382163e-18 3.403529e-01 -9.499773e-03 5.806363e-20
1.4            8.192542e+00 -8.146573e-02 -1.302540e-18 7.861735e+00 -7.229037e-02 -1.360501e-18 3.308069e-01 -9.175360e-03 5.796050e-20
1.45           8.207123e+00 -6.074049e-02 -1.295530e-18 7.885208e+00 -5.183898e-02 -1.353586e-18 3.219156e-01 -8.901506e-03 5.805628e-20
1.5            8.212769e+00 -7.638644e-02 -1.287497e-18 7.899427e+00 -6.758510e-02 -1.345333e-18 3.133416e-01 -8.801342e-03 5.783626e-20
1.55           8.260613e+00 -9.206328e-02 -1.257264e-18 7.954979e+00 -8.336863e-02 -1.314275e-18 3.056348e-01 -8.694649e-03 5.701114e-20
1.6            8.288020e+00 -8.421997e-02 -1.244264e-18 7.989430e+00 -7.537897e-02 -1.300561e-18 2.985902e-01 -8.841000e-03 5.629637e-20
1.65           8.304045e+00 -9.336755e-02 -1.222355e-18 8.011840e+00 -8.429625e-02 -1.277916e-18 2.922049e-01 -9.071302e-03 5.556119e-20
1.7            8.358814e+00 -8.524576e-02 -1.214060e-18 8.072349e+00 -7.593674e-02 -1.269056e-18 2.864655e-01 -9.309016e-03 5.499647e-20
1.75           8.379261e+00 -6.771819e-02 -1.198071e-18 8.097911e+00 -5.815883e-02 -1.252519e-18 2.813501e-01 -9.559358e-03 5.444810e-20
1.8            8.405411e+00 -6.129184e-02 -1.167885e-18 8.128615e+00 -5.151146e-02 -1.221651e-18 2.767960e-01 -9.780380e-03 5.376522e-20
1.85           8.435450e+00 -5.472324e-02 -1.153171e-18 8.162782e+00 -4.481950e-02 -1.206596e-18 2.726676e-01 -9.903735e-03 5.342590e-20
1.9            8.503604e+00 -3.582529e-02 -1.124548e-18 8.234499e+00 -2.585016e-02 -1.177530e-18 2.691054e-01 -9.975127e-03 5.298217e-20
1.95           8.545353e+00 -4.696211e-02 -1.105173e-18 8.279310e+00 -3.713896e-02 -1.157811e-18 2.660433e-01 -9.823144e-03 5.263857e-20
2              8.609681e+00 -3.653362e-02 -1.078202e-18 8.346345e+00 -2.688256e-02 -1.130490e-18 2.633357e-01 -9.651056e-03 5.228869e-20
2.05           8.683722e+00 -2.575489e-02 -1.066801e-18 8.422742e+00 -1.643535e-02 -1.118963e-18 2.609802e-01 -9.319533e-03 5.216176e-20
2.1            8.743942e+00 -2.745379e-02 -1.046149e-18 8.484971e+00 -1.849752e-02 -1.097916e-18 2.589709e-01 -8.956269e-03 5.176759e-20
2.15           8.804267e+00 -3.069042e-04 -1.036448e-18 8.547126e+00 8.043320e-03 -1.087916e-18 2.571408e-01 -8.350224e-03 5.146826e-20
2.2            8.873227e+00 1.320515e-03 -1.016026e-18 8.617625e+00 8.953567e-03 -1.067132e-18 2.556020e-01 -7.633052e-03 5.110677e-20
