# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.05           8.427293e-02 4.611145e+00 -3.818855e-01 8.716776e-02 3.056431e+00 -3.883363e-01 -2.894835e-03 1.554713e+00 6.450827e-03
0.1            -5.644723e-04 5.297229e+00 5.733796e-02 -4.087092e-03 4.115968e+00 -2.362758e-02 3.522619e-03 1.181261e+00 8.096554e-02
0.15           -4.544434e-02 4.883347e+00 4.606621e-02 -4.666769e-02 3.931277e+00 -6.272551e-02 1.223344e-03 9.520699e-01 1.087917e-01
0.2            -6.790585e-02 4.580528e+00 -4.410966e-02 -6.635925e-02 3.785790e+00 -1.725803e-01 -1.546602e-03 7.947378e-01 1.284706e-01
0.25           -9.469617e-02 4.409452e+00 -5.396612e-02 -9.262034e-02 3.727736e+00 -1.879232e-01 -2.075828e-03 6.817158e-01 1.339570e-01
0.3            -9.215734e-02 4.300493e+00 -3.926032e-02 -8.966436e-02 3.703206e+00 -1.688430e-01 -2.492987e-03 5.972870e-01 1.295827e-01
0.35           -9.011777e-02 4.194946e+00 -6.594967e-02 -8.765207e-02 3.665867e+00 -1.864059e-01 -2.465702e-03 5.290794e-01 1.204562e-01
0.4            -5.087923e-02 4.097868e+00 -2.881421e-02 -4.863352e-02 3.625546e+00 -1.382911e-01 -2.245711e-03 4.723221e-01 1.094768e-01
0.45           -4.469559e-02 4.063684e+00 -2.182197e-02 -4.237106e-02 3.638572e+00 -1.211363e-01 -2.324521e-03 4.251118e-01 9.931430e-02
0.5            -3.887526e-02 4.054094e+00 -5.433261e-03 -3.613164e-02 3.667923e+00 -9.521991e-02 -2.743623e-03 3.861710e-01 8.978665e-02
0.55           -2.918672e-02 4.063254e+00 3.711305e-03 -2.607718e-02 3.708951e+00 -7.705532e-02 -3.109539e-03 3.543023e-01 8.076663e-02
0.6            -2.838347e-02 4.046870e+00 -4.121936e-03 -2.530281e-02 3.718590e+00 -7.674507e-02 -3.080658e-03 3.282798e-01 7.262313e-02
0.65           -6.382168e-03 4.044706e+00 3.113232e-03 -3.603805e-03 3.738259e+00 -6.240921e-02 -2.778363e-03 3.064475e-01 6.552244e-02
0.7            5.251444e-03 4.031398e+00 -3.682602e-03 7.241885e-03 3.743740e+00 -6.338826e-02 -1.990442e-03 2.876577e-01 5.970566e-02
0.75           2.602115e-02 4.023626e+00 9.014786e-03 2.708611e-02 3.752336e+00 -4.578367e-02 -1.064953e-03 2.712898e-01 5.479846e-02
0.8            4.189417e-02 4.001103e+00 1.865684e-02 4.194737e-02 3.744126e+00 -3.166161e-02 -5.320248e-05 2.569762e-01 5.031845e-02
0.85           5.202060e-02 3.994506e+00 2.619043e-02 5.106060e-02 3.750261e+00 -1.947880e-02 9.600084e-04 2.442448e-01 4.566922e-02
0.9            4.994045e-02 3.980197e+00 2.446423e-02 4.806145e-02 3.747189e+00 -1.632291e-02 1.879006e-03 2.330084e-01 4.078714e-02
0.95           4.709781e-02 3.981068e+00 3.045878e-02 4.445864e-02 3.758175e+00 -5.298641e-03 2.639161e-03 2.228929e-01 3.575742e-02
1              4.589319e-02 3.973745e+00 3.787769e-02 4.270109e-02 3.759842e+00 7.014876e-03 3.192101e-03 2.139026e-01 3.086281e-02
1.05           3.778396e-02 4.001330e+00 3.306246e-02 3.402184e-02 3.795458e+00 6.564903e-03 3.762120e-03 2.058725e-01 2.649756e-02
1.1            3.461544e-02 4.019213e+00 2.199186e-02 3.038626e-02 3.820437e+00 -7.818087e-04 4.229183e-03 1.987759e-01 2.277367e-02
1.15           3.867240e-02 4.030006e+00 1.994684e-02 3.417090e-02 3.837789e+00 -5.579142e-05 4.501500e-03 1.922173e-01 2.000263e-02
1.2            4.073480e-02 4.047101e+00 1.949407e-02 3.607175e-02 3.860965e+00 1.476235e-03 4.663058e-03 1.861361e-01 1.801784e-02
1.25           3.766997e-02 4.065066e+00 1.658693e-02 3.285721e-02 3.884503e+00 5.302166e-05 4.812765e-03 1.805626e-01 1.653391e-02
1.3            3.879684e-02 4.067469e+00 1.553174e-02 3.396241e-02 3.892218e+00 6.270064e-05 4.834430e-03 1.752503e-01 1.546904e-02
1.35           3.420805e-02 4.076637e+00 1.226471e-02 2.945817e-02 3.906461e+00 -2.449972e-03 4.749887e-03 1.701764e-01 1.471468e-02
1.4            4.073286e-02 4.096271e+00 2.222182e-02 3.614518e-02 3.930868e+00 7.933171e-03 4.587680e-03 1.654035e-01 1.428865e-02
1.45           3.037024e-02 4.103562e+00 1.034879e-02 2.591949e-02 3.942604e+00 -3.686737e-03 4.450753e-03 1.609578e-01 1.403553e-02
1.5            3.819322e-02 4.106384e+00 2.631642e-02 3.379255e-02 3.949713e+00 1.251061e-02 4.400671e-03 1.566708e-01 1.380581e-02
1.55           4.603164e-02 4.130307e+00 3.353990e-02 4.168432e-02 3.977489e+00 1.968083e-02 4.347325e-03 1.528174e-01 1.385907e-02
1.6            4.210999e-02 4.144010e+00 2.711948e-02 3.768949e-02 3.994715e+00 1.325570e-02 4.420500e-03 1.492951e-01 1.386378e-02
1.65           4.668378e-02 4.152022e+00 5.021538e-02 4.214812e-02 4.005920e+00 3.622544e-02 4.535651e-03 1.461025e-01 1.398994e-02
1.7            4.262288e-02 4.179407e+00 4.948740e-02 3.796837e-02 4.036174e+00 3.524738e-02 4.654508e-03 1.432327e-01 1.424003e-02
1.75           3.385910e-02 4.189631e+00 5.501549e-02 2.907942e-02 4.048956e+00 4.059290e-02 4.779679e-03 1.406751e-01 1.442259e-02
1.8            3.064592e-02 4.202705e+00 5.700428e-02 2.575573e-02 4.064307e+00 4.240014e-02 4.890190e-03 1.383980e-01 1.460414e-02
1.85           2.736162e-02 4.217725e+00 6.450602e-02 2.240975e-02 4.081391e+00 4.971263e-02 4.951868e-03 1.363338e-01 1.479339e-02
1.9            1.791264e-02 4.251802e+00 7.240822e-02 1.292508e-02 4.117249e+00 5.738896e-02 4.987563e-03 1.345527e-01 1.501926e-02
1.95           2.348105e-02 4.272676e+00 8.088576e-02 1.856948e-02 4.139655e+00 6.555906e-02 4.911572e-03 1.330217e-01 1.532670e-02
2              1.826681e-02 4.304840e+00 9.212881e-02 1.344128e-02 4.173173e+00 7.633904e-02 4.825528e-03 1.316678e-01 1.578976e-02
2.05           1.287744e-02 4.341861e+00 8.492866e-02 8.217677e-03 4.211371e+00 6.862077e-02 4.659767e-03 1.304901e-01 1.630789e-02
2.1            1.372690e-02 4.371971e+00 9.117724e-02 9.248761e-03 4.242485e+00 7.429722e-02 4.478134e-03 1.294855e-01 1.688001e-02
2.15           1.534521e-04 4.402133e+00 9.093805e-02 -4.021660e-03 4.273563e+00 7.362848e-02 4.175112e-03 1.285704e-01 1.730957e-02
2.2            -6.602575e-04 4.436613e+00 8.554043e-02 -4.476783e-03 4.308812e+00 6.764532e-02 3.816526e-03 1.278010e-01 1.789511e-02
2.25           -1.009633e-03 4.466205e+00 8.506435e-02 -4.500141e-03 4.339032e+00 6.648792e-02 3.490508e-03 1.271724e-01 1.857643e-02
2.3            -4.979041e-03 4.493343e+00 8.095730e-02 -8.064486e-03 4.366692e+00 6.175301e-02 3.085444e-03 1.266513e-01 1.920429e-02
2.35           -8.146717e-03 4.517784e+00 7.989188e-02 -1.082499e-02 4.391502e+00 5.996265e-02 2.678269e-03 1.262823e-01 1.992923e-02
2.4            -2.134646e-03 4.545100e+00 8.510916e-02 -4.433355e-03 4.419026e+00 6.437447e-02 2.298709e-03 1.260739e-01 2.073469e-02
2.45           -1.346352e-02 4.564731e+00 8.216821e-02 -1.537971e-02 4.438776e+00 6.061126e-02 1.916189e-03 1.259558e-01 2.155695e-02
2.5            -6.662668e-03 4.585994e+00 8.000552e-02 -8.228218e-03 4.460024e+00 5.763720e-02 1.565550e-03 1.259703e-01 2.236832e-02
2.55           -8.835587e-03 4.611020e+00 8.116535e-02 -1.010347e-02 4.484967e+00 5.793555e-02 1.267881e-03 1.260532e-01 2.322980e-02
2.6            -5.053413e-03 4.632625e+00 8.042841e-02 -6.001712e-03 4.506319e+00 5.630764e-02 9.482995e-04 1.263062e-01 2.412077e-02
2.65           -7.328886e-03 4.663635e+00 8.867502e-02 -8.030789e-03 4.536941e+00 6.383238e-02 7.019024e-04 1.266945e-01 2.484264e-02
2.7            -4.420909e-03 4.682906e+00 9.112926e-02 -4.848953e-03 4.555781e+00 6.575684e-02 4.280441e-04 1.271255e-01 2.537242e-02
2.75           -3.979161e-03 4.704145e+00 9.662210e-02 -4.185864e-03 4.576525e+00 7.069515e-02 2.067025e-04 1.276198e-01 2.592695e-02
2.8            -2.102466e-03 4.725155e+00 9.627235e-02 -2.109583e-03 4.596968e+00 6.980586e-02 7.117354e-06 1.281871e-01 2.646649e-02
2.85           -4.957255e-03 4.744253e+00 9.831522e-02 -4.736213e-03 4.615427e+00 7.146893e-02 -2.210422e-04 1.288260e-01 2.684629e-02
